,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
0,(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k
1,University of Pennsylvania,COURSE,4.7,Intermediate,17k
2,Johns Hopkins University,COURSE,4.5,Mixed,130k
3,Yale University,COURSE,4.7,Mixed,91k
4,Indian School of Business,COURSE,4.8,Mixed,320k
5,University at Buffalo,COURSE,4.7,Beginner,39k
6,deeplearning.ai,COURSE,4.8,Beginner,350k
7,deeplearning.ai,COURSE,4.8,Intermediate,2.4k
8,IBM,SPECIALIZATION,4.7,Beginner,61k
9,deeplearning.ai,COURSE,4.7,Intermediate,12k
10,deeplearning.ai,COURSE,4.6,Intermediate,4k
11,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k
12,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k
13,Amazon Web Services,COURSE,4.3,Beginner,11k
14,Amazon Web Services,COURSE,4.7,Beginner,27k
15,Amazon Web Services,COURSE,4.7,Beginner,110k
16,Amazon Web Services,COURSE,4.5,Intermediate,13k
17,University of Toronto,COURSE,4.7,Mixed,6.6k
18,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540k
19,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22k
20,(ISC)²,COURSE,4.6,Beginner,2.9k
21,University of Pennsylvania,COURSE,4.5,Mixed,80k
22,University of Michigan,COURSE,4.8,Intermediate,9.9k
23,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110k
24,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23k
25,Yale University,COURSE,4.8,Beginner,9.2k
26,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78k
27,IBM,SPECIALIZATION,4.4,Advanced,320k
28,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190k
29,Google Cloud,SPECIALIZATION,4.5,Advanced,35k
30,Erasmus University Rotterdam,COURSE,4.7,Advanced,29k
31,Duke University,COURSE,4.8,Mixed,14k
32,Yale University,COURSE,4.7,Beginner,21k
33,University of Virginia,SPECIALIZATION,4.7,Beginner,94k
34,University of Virginia,COURSE,4.7,Beginner,69k
35,Atlassian,COURSE,4.7,Beginner,40k
36,ScrumTrek,COURSE,4.9,Beginner,12k
37,University of California San Diego,COURSE,4.7,Intermediate,220k
38,Stanford University,SPECIALIZATION,4.8,Intermediate,150k
39,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14k
40,Yale University,COURSE,4.9,Beginner,18k
41,University of Pennsylvania,COURSE,4.8,Beginner,23k
42,Copenhagen Business School,COURSE,4.7,Beginner,69k
43,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270k
44,Macquarie University,SPECIALIZATION,4.6,Beginner,7.9k
45,University of Michigan,SPECIALIZATION,4.8,Beginner,30k
46,Yale University,COURSE,4.8,Intermediate,36k
47,University of Michigan,COURSE,4.8,Beginner,20k
48,University of Pennsylvania,COURSE,4.8,Mixed,8.1k
49,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120k
50,The University of Edinburgh,COURSE,4.8,Mixed,71k
51,Stanford University,COURSE,4.5,Advanced,11k
52,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11k
53,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63k
54,IBM,SPECIALIZATION,4.6,Beginner,220k
55,IBM,COURSE,4.7,Intermediate,42k
56,University of Michigan,SPECIALIZATION,4.5,Intermediate,480k
57,University of Michigan,COURSE,4.6,Intermediate,150k
58,University of Michigan,COURSE,4.6,Intermediate,97k
59,Universidad Austral,SPECIALIZATION,4.2,Beginner,6.6k
60,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200k
61,University of California San Diego,COURSE,4.9,Beginner,180k
62,Google Cloud,SPECIALIZATION,4.5,Intermediate,4.2k
63,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k
64,Google Cloud,SPECIALIZATION,4.5,Beginner,3.9k
65,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150k
66,The Museum of Modern Art,COURSE,4.8,Mixed,79k
67,The Museum of Modern Art,COURSE,4.8,Mixed,31k
68,National Arts Strategies,COURSE,4.6,Mixed,15k
69,Università Bocconi,COURSE,4.8,Mixed,15k
